Category,Item Name,Price,Description,Veg/Non-veg,Rating,Restaurant Index
None,Crispy Chicken Pepper Salt,328,Crispy Chicken Pepper Salt,Non-veg,4.0,7
None,Chicken Lollipop (4 Pcs),328,Chicken Lollipop (4 Pcs),Non-veg,4.0,7
None,Chilli Chicken Dry,334,Chilli Chicken Dry,Non-veg,4.0,7
None,Vegetable Chow Mien,206,Vegetable Chow Mien,Veg,4.0,7
None,Egg Chow mein,231,Egg Chow mein,Non-veg,4.0,7
None,Chicken Chow mein,257,Chicken Chow mein,Non-veg,4.0,7
None,Vegetable Fried Rice,206,Vegetable Fried Rice,Veg,4.0,7
None,Egg Fried Rice,231,Egg Fried Rice,Non-veg,4.0,7
None,Chicken Fried Rice,257,Chicken Fried Rice,Non-veg,4.0,7
None,Veg Special Chow mein,251,Veg Special Chow mein,Veg,4.0,7
None,Veg Hakka Chow mein,251,Veg Hakka Chow mein,Veg,4.0,7
None,Veg Special Fried Rice,251,Veg Special Fried Rice,Veg,4.0,7
None,Chicken Special Chow mein,257,Chicken Special Chow mein,Non-veg,4.0,7
None,Chicken Hakka Chow mein,257,Chicken Hakka Chow mein,Non-veg,4.0,7
None,Chicken Special Fried Rice,257,Chicken Special Fried Rice,Non-veg,4.0,7
None,Veg Mushroom & Baby corn in Garlic Sauce,283,Veg Mushroom & Baby corn in Garlic Sauce,Veg,4.0,7
None,Mushroom & Veg in Hong Kong Style,283,Mushroom & Veg in Hong Kong Style,Veg,4.0,7
None,"Spinach, Baby corn & Mushroom in Garlic Sauce",283,"Spinach, Baby corn & Mushroom in Garlic Sauce",Veg,4.0,7
None,Vegetable Manchurian,283,Vegetable Manchurian,Veg,4.0,7
None,Sweet & Sour Vegetables,244,Sweet & Sour Vegetables,Veg,4.0,7
None,Gobi Manchurian,270,Gobi Manchurian,Veg,4.0,7
None,Paneer 65,270,Paneer 65,Veg,4.0,7
None,Chilli Paneer Gravy,283,Chilli Paneer Gravy,Veg,4.0,7
None,Chilli Mushroom Gravy,283,Chilli Mushroom Gravy,Veg,4.0,7
None,Chilli Potato Gravy,283,Chilli Potato Gravy,Veg,4.0,7
None,Chilli Chicken Gravy,334,Chilli Chicken Gravy,Non-veg,4.0,7
None,Garlic Chicken,334,Garlic Chicken,Non-veg,4.0,7
None,Ginger Chicken,334,Ginger Chicken,Non-veg,4.0,7
None,Sweet & Sour Chicken,334,Sweet & Sour Chicken,Non-veg,4.0,7
None,Chicken Manchurian,334,Chicken Manchurian,Non-veg,4.0,7
None,Chicken 65,341,Chicken 65,Non-veg,4.0,7
None,Shredded Lamb in Garlic Sauce,341,Shredded Lamb in Garlic Sauce,Non-veg,4.0,7
None,Garlic Fish,341,Garlic Fish,Non-veg,4.0,7
None,Chilli Fish,334,Chilli Fish,Non-veg,4.0,7
None,Veg American Chop suey,296,Veg American Chop suey,Veg,4.0,7
None,Veg Chinese Chop suey,296,Veg Chinese Chop suey,Veg,4.0,7
None,Chicken American Chop suey,321,Chicken American Chop suey,Non-veg,4.0,7
None,Chicken Chinese Chop suey,321,Chicken Chinese Chop suey,Non-veg,4.0,7
None,Veg Schezwan Chow mein,230,Veg Schezwan Chow mein,Veg,4.0,7
None,Veg Schezwan Fried Rice,230,Veg Schezwan Fried Rice,Veg,4.0,7
None,Chicken Schezwan Chow mein,321,Chicken Schezwan Chow mein,Non-veg,4.0,7
None,Chicken Schezwan Fried Rice,270,Chicken Schezwan Fried Rice,Non-veg,4.0,7
None,Vegetable Schezwan,247,Vegetable Schezwan,Veg,4.0,7
None,Chicken Schezwan,328,Chicken Schezwan,Non-veg,4.0,7
None,Chilli Chicken Schezwan Style,328,Chilli Chicken Schezwan Style,Non-veg,4.0,7
Cutlets,Veg & Cheese Mixed Cutlet with Chips,161,Veg & Cheese Mixed Cutlet with Chips,Veg,4.0,7
Cutlets,Veg Cutlet with Fries,148,Veg Cutlet with Fries,Veg,4.0,7
Cutlets,Chicken Cutlet with Boiled Vegetables,321,Chicken Cutlet with Boiled Vegetables,Non-veg,4.0,7
Cutlets,Cheese Cutlet with Boiled Vegetables,218,Cheese Cutlet with Boiled Vegetables,Veg,4.0,7
Cutlets,Cheese Cutlet with French Fries,180,Cheese Cutlet with French Fries,Veg,4.0,7
Cutlets,Fish Cutlet with Boiled Vegetables,270,Fish Cutlet with Boiled Vegetables,Non-veg,4.0,7
Burgers,Veg Burger (With Wafers),129,Veg Burger (With Wafers),Veg,4.0,7
Burgers,Cheese Burger (With Wafers),148,Cheese Burger (With Wafers),Veg,4.0,7
Burgers,Chicken Burger (With Wafers),206,Chicken Burger (With Wafers),Non-veg,4.0,7
Burgers,Mutton Burger (With Wafers),206,Mutton Burger (With Wafers),Non-veg,4.0,7
Sandwiches,Vegetable Sandwich,122,Vegetable Sandwich,Veg,4.0,7
Sandwiches,Cheese Sandwich,135,Cheese Sandwich,Veg,4.0,7
Sandwiches,Egg Sandwich,135,Egg Sandwich,Non-veg,4.0,7
Sandwiches,Chicken Sandwich,173,Chicken Sandwich,Non-veg,4.0,7
None,Tandoori Paneer Tikka,257,Tandoori Paneer Tikka,Veg,4.0,7
None,Paneer Bhatti,270,Paneer Bhatti,Veg,4.0,7
None,Hariyali Paneer Tikka,270,Hariyali Paneer Tikka,Veg,4.0,7
None,Tandoori Chicken,283,Tandoori Chicken,Non-veg,4.0,7
None,Chicken Hariyali Tikka,296,Chicken Hariyali Tikka,Non-veg,4.0,7
None,Chicken Bhatti,296,Chicken Bhatti,Non-veg,4.0,7
None,Chicken Malai Tikka,296,Chicken Malai Tikka,Non-veg,4.0,7
None,Chicken Reshmi Tikka,296,Chicken Reshmi Tikka,Non-veg,4.0,7
None,Chicken Tikka Kebab,296,Chicken Tikka Kebab,Non-veg,4.0,7
None,Fish Tikka,308,Fish Tikka,Non-veg,4.0,7
None,Chicken Banjara,296,Chicken Banjara,Non-veg,4.0,7
None,Kadai Paneer,270,Kadai Paneer,Veg,4.0,7
None,Paneer Lababdar,257,Paneer Lababdar,Veg,4.0,7
None,Shahi Paneer,244,Shahi Paneer,Veg,4.0,7
None,Paneer Butter Masala,257,Paneer Butter Masala,Veg,4.0,7
None,Paneer Balti Wala,260,Paneer Balti Wala,Veg,4.0,7
None,Paneer Darbari (Paneer Tikka Masala),260,Paneer Darbari (Paneer Tikka Masala),Veg,4.0,7
None,Paneer Do Pyaza,257,Paneer Do Pyaza,Veg,4.0,7
None,Paneer Kali Mirch,260,Paneer Kali Mirch,Veg,4.0,7
None,Aloo Dum Kashmiri,231,Aloo Dum Kashmiri,Veg,4.0,7
None,Palak & Corn Curry,257,Palak & Corn Curry,Veg,4.0,7
None,Stuffed Tomato,218,Stuffed Tomato,Veg,4.0,7
None,Mixed Vegetables,231,Mixed Vegetables,Veg,4.0,7
None,Punjabi Chana Masala,231,Punjabi Chana Masala,Veg,4.0,7
None,Handi Paneer,283,Handi Paneer,Veg,4.0,7
None,Shahi Kofta,257,Shahi Kofta,Veg,4.0,7
None,Vegetable Malai Kofta,257,Vegetable Malai Kofta,Veg,4.0,7
None,Aloo Achari,231,Aloo Achari,Veg,4.0,7
None,Mushroom Malai Curry,257,Mushroom Malai Curry,Veg,4.0,7
None,Mushroom Corn Masala,257,Mushroom Corn Masala,Veg,4.0,7
None,Dal Makhani,180,Dal Makhani,Veg,4.0,7
None,Dal Tadka Wali,180,Dal Tadka Wali,Veg,4.0,7
None,Murgh Lazeez,379,Murgh Lazeez,Non-veg,4.0,7
None,Butter Chicken,373,Butter Chicken,Non-veg,4.0,7
None,Balti Chicken,386,Balti Chicken,Non-veg,4.0,7
None,Dhaba Chicken,386,Dhaba Chicken,Non-veg,4.0,7
None,Murgh Malai Badami,386,Murgh Malai Badami,Non-veg,4.0,7
None,Kadai Chicken,386,Kadai Chicken,Non-veg,4.0,7
None,Chicken Masala,386,Chicken Masala,Non-veg,4.0,7
None,Chicken Lababdar,386,Chicken Lababdar,Non-veg,4.0,7
None,Chicken Do Pyaza,379,Chicken Do Pyaza,Non-veg,4.0,7
None,Handi Chicken,386,Handi Chicken,Non-veg,4.0,7
None,Chicken Kali Mirch,379,Chicken Kali Mirch,Non-veg,4.0,7
None,Shahi Chicken,373,Shahi Chicken,Non-veg,4.0,7
None,Murgh Punjab Io Wala,373,Murgh Punjab Io Wala,Non-veg,4.0,7
None,Mutton Rogan Josh,373,Mutton Rogan Josh,Non-veg,4.0,7
None,Mutton Masala,373,Mutton Masala,Non-veg,4.0,7
None,Handi Gosht,373,Handi Gosht,Non-veg,4.0,7
None,Mutton Do Pyaza,373,Mutton Do Pyaza,Non-veg,4.0,7
None,Keema Mattar,373,Keema Mattar,Non-veg,4.0,7
None,Chicken Titanic,386,Chicken Titanic,Non-veg,4.0,7
None,Fish Curry,334,Fish Curry,Non-veg,4.0,7
None,Murgh Rara,450,Murgh Rara,Non-veg,4.0,7
None,Egg Curry,231,Egg Curry,Non-veg,4.0,7
None,Russian Salad,167,Russian Salad,Veg,4.0,7
None,Green Salad,87,Green Salad,Veg,4.0,7
None,Mixed Raita,116,Mixed Raita,Veg,4.0,7
None,Boondi Raita,116,Boondi Raita,Veg,4.0,7
None,Mint Raita,116,Mint Raita,Veg,4.0,7
None,Pineapple Raita,141,Pineapple Raita,Veg,4.0,7
None,Fruit Raita,141,Fruit Raita,Veg,4.0,7
None,Plain Rice,141,Plain Rice,Veg,4.0,7
None,Steamed Rice,141,Steamed Rice,Veg,4.0,7
None,Peas Pulao,180,Peas Pulao,Veg,4.0,7
None,Veg Pulao,180,Veg Pulao,Veg,4.0,7
None,Paneer Pulao,180,Paneer Pulao,Veg,4.0,7
None,Jeera Pulao,180,Jeera Pulao,Veg,4.0,7
None,Vegetable Biryani,296,Vegetable Biryani,Veg,4.0,7
None,Egg Biryani,321,Egg Biryani,Non-veg,4.0,7
None,Chicken Biryani,360,Chicken Biryani,Non-veg,4.0,7
None,Mutton Biryani,353,Mutton Biryani,Non-veg,4.0,7
None,Cheese Stuffed Naan,103,Cheese Stuffed Naan,Veg,4.0,7
None,Plain Naan,58,Plain Naan,Veg,4.0,7
None,Butter Naan,62,Butter Naan,Veg,4.0,7
None,Mutton Keema Naan,122,Mutton Keema Naan,Non-veg,4.0,7
None,Garlic Naan,90,Garlic Naan,Veg,4.0,7
None,Tandoori Roti,31,Tandoori Roti,Veg,4.0,7
None,Butter Roti,39,Butter Roti,Veg,4.0,7
None,Onion Roti,39,Onion Roti,Veg,4.0,7
None,Missi Roti,45,Missi Roti,Veg,4.0,7
None,Kulcha Plain,62,Kulcha Plain,Veg,4.0,7
None,Stuffed Kulcha,96,Stuffed Kulcha,Veg,4.0,7
None,Stuffed Naan,96,Stuffed Naan,Veg,4.0,7
None,Stuffed Paratha,96,Stuffed Paratha,Veg,4.0,7
None,Onion Kulcha,96,Onion Kulcha,Veg,4.0,7
None,Laccha Paratha,64,Laccha Paratha,Veg,4.0,7
None,Pudina Paratha,64,Pudina Paratha,Veg,4.0,7
None,Rumali Roti,39,Rumali Roti,Veg,4.0,7
None,Vegetable Au Gratin,283,Vegetable Au Gratin,Veg,4.0,7
None,Mushroom in Cheese Sauce,257,Mushroom in Cheese Sauce,Veg,4.0,7
None,Baked Paneer,283,Baked Paneer,Veg,4.0,7
None,Baked Vegetable,283,Baked Vegetable,Veg,4.0,7
None,Baked Chicken,360,Baked Chicken,Non-veg,4.0,7
None,Mutton Cutlet,347,Mutton Cutlet,Non-veg,4.0,7
None,Fried Fish,321,Fried Fish,Non-veg,4.0,7
None,Fish Finger,321,Fish Finger,Non-veg,4.0,7
None,Baked Fish,347,Baked Fish,Non-veg,4.0,7
None,Tomato Fish,347,Tomato Fish,Non-veg,4.0,7
None,Fish Mayonnaise,347,Fish Mayonnaise,Non-veg,4.0,7
None,Cream of Chicken Soup,180,Cream of Chicken Soup,Non-veg,4.0,7
None,Cream of Mushroom Soup,167,Cream of Mushroom Soup,Veg,4.0,7
None,Cream of Tomato Soup,167,Cream of Tomato Soup,Veg,4.0,7
None,Minestrone Soup,180,Minestrone Soup,Veg,4.0,7
Recommended,Onion Pakoras,145,Onion Pakoras,Veg,3.9,8
Recommended,Veg Pakora,145,"Paneer pakora are savory gram flour batter coated Indian cottage cheese fritters. Its a best snack to pair up with evening tea. 
.",Veg,3.9,8
Recommended,Paneer Cutlet,190,Paneer cutlet is a quick Indian snack recipe made with paneer along with Indian spices.,Veg,3.9,8
Recommended,Paneer Pakoras,190,Paneer Pakoras,Veg,3.9,8
Recommended,Onion Ring,130,Onion Ring,Veg,3.9,8
Recommended,Honey Chilli Potato,220,All time favorite mouthwatering honey chilli potato made with fresh veggies and honey served with salad (serve 1).,Veg,3.9,8
Recommended,Tandoori Aloo,220,Tandoori Aloo,Veg,3.9,8
Recommended,Soya ChaapTikka,240,A flavor-packed malai chaap tossed with veggies and delectable masalas - perfect to satiate your cravings.,Veg,3.9,8
Recommended,Paneer Tikka,260,"Cottage Cheese marinated in Indian spices and hung curd cooked in clay oven -Tandoor and served with Salad mix and Mint Chutney.
",Veg,3.9,8
Recommended,Paneer Malai Tikka,240,A flavor-packed preparation with paneer cubes grilled to perfection. Serves 1-2.,Veg,3.9,8
Recommended,Veg Sandwich,110,Veg Sandwich,Veg,3.9,8
Recommended,Cheese Sandwich,110,Cheese Sandwich,Veg,3.9,8
Recommended,Paneer Sandwich,160,A Mouthwatering Sandwich Stuffed With Assorted sauteed Veggies And Paneer And Coated In Special Sauces.,Veg,3.9,8
Recommended,Aloo Sandwich,120,Aloo Sandwich,Veg,3.9,8
Recommended,Chole Bhature,140,A classic Punjabi combo consisting of fluffy bhatura served with thick and indulgent chickpea gravy.,Veg,3.9,8
Recommended,Veg Burger,65,"Juicy burger with a tangy vegetable patty; served with lettuce, tomatoes, chopped onions, mayo and crisps.",Veg,3.9,8
Recommended,Paneer Burger,130,"A delightfully flavor packed burger with crispy paneer patty, fresh veggies and delectable sauces.",Veg,3.9,8
Recommended,"8.5"" Cheese Pizza",180,"A delightfully flavorful pizza with a well cooked base topped with pizza sauce, italian spices and whole lot of cheese.",Veg,3.9,8
Recommended,"8.5"" Veg Pizza",240,All time favorite mouthwatering 6 inch farm house pizza made with fresh veggies and served tomato and chilli sauce (serve 1).,Veg,3.9,8
Recommended,"8.5"" Onion Pizza",240,"A fresh flattened bread dough topped with onion and paneer, generously layered with grated cheese & italian herbs baked to perfection.",Veg,3.9,8
Recommended,"8.5"" Paneer Pizza",280,"The all time favorite 8'' pizza topped with assorted fresh veggies, generously layered with grated cheese and baked to perfection.",Veg,3.9,8
Recommended,"8.5"" Paneer Tikka Pizza",290,A fresh flattened bread dough generously layered with grated cheese & italian herbs baked to perfection.,Veg,3.9,8
Recommended,Onion Penne Pasta,210,Onion Penne Pasta,Veg,3.9,8
Recommended,Plain Dosa,130,Delicious rice and lentil crepes which are made with ground and fermented lentil-rice batter served with mouth watering sambhar.,Veg,3.9,8
Recommended,Masala Dosa,130,"Masala dosa is a thin crisp dosa, consumed with a spicy potato sabji. Masala dosa is made from rice, potato, methi, curry leaves and served with chutneys and sambar.",Veg,3.9,8
Recommended,Paneer Masala Dosa,180,"Crispy and delicious dosa, folded in with spicy paneer masala.",Veg,3.9,8
Recommended,Rawa Plain Dosa,150,"Rava dosa is an easy crisp instant dosa made with semolina, rice flour, all-?purpose flour and spices.",Veg,3.9,8
Recommended,Rawa Masala Dosa,150,"A semi-spicy, crispy and delicious dosa with flavor-packed stuffing of spiced paneer folded into it with alot of butter.",Veg,3.9,8
Recommended,Rawa Paneer Masala Dosa,200,Rawa Paneer Masala Dosa,Veg,3.9,8
Recommended,Spring Dosa,220,"A delightfully tasty dish prepared with crispy dosa, rolled into tiny strips and stuffed with assorted veggies and sauces - perfect snack to satisfy your hunger.",Veg,3.9,8
Recommended,Idli Sambar,130,Authentic South Indian breakfast with soft and melt-in-the-mouth idlis; served along with chutneys and sambhar.,Veg,3.9,8
Recommended,Idli Fry,150,Idli Fry,Veg,3.9,8
Recommended,Vada Sambar,130,A popular South Indian style sambar vada recipe prepared by combining the spiced and flavoured sambar with vada.,Veg,3.9,8
Recommended,Plain Uttapam,160,Plain Uttapam,Veg,3.9,8
Recommended,Onion Uttapam,160,"Lip smacking, soft and spongy dosa stuffed with onions and spices.",Veg,3.9,8
Recommended,Paneer Uttapam,190,"A thick pancake made from rice flour to which onions, paneer , tomatoes, chilli peppers, and other vegetables are added during cooking.",Veg,3.9,8
Recommended,Veg Chowmein,150,A delightfully flavor-packed noodle preparation with noodles stir fried with assorted veggies and sauces.,Veg,3.9,8
Recommended,Paneer Chowmein,180,"Paneer Chowmein are Chinese stir-fried noodles with Paneer. They are stir fried with cottage paneer mixed with capsicum and gazars and finally left to sit at the bottom of the wok and pressed down, this crisps the noodles at the edges and underside.",Veg,3.9,8
Recommended,Hakka Noodles,200,A delectable dish with slippery strands of noodles dressed in a flavorful sauce and tossed along with vegetables and spices.,Veg,3.9,8
Recommended,Spring Roll,180,Fine wrap loaded with sliced vegetables and fried till they turn crisp. Spring rolls are a delicious treat to satisfy the evening snack cravings.,Veg,3.9,8
Recommended,Chilli Paneer Roll,210,"Paneer chunks dipped in seasoned batter, fried and then tossed in a spicy chili sauce along with peppers and more.",Veg,3.9,8
Recommended,Veg Fried Rice,150,A deliciously aromatic and flavorful dish prepared from rice and stir-fried vegetables.,Veg,3.9,8
Recommended,Paneer Fried Rice,180,Fresh veggies and soft paneer tossed in a pan with steamed rice and flavorful spices - perfect to satisfy your hunger pangs.,Veg,3.9,8
Recommended,Chilli Paneer,260,Chilli paneer is a delicious Indo Chinese recipe where paneer or Indian cottage cheese is batter fried and then tossed in a spicy sauce.,Veg,3.9,8
Recommended,Veg Manchurian,260,"Veg Manchurian is an addictive Indo-Chinese dish made with wisps of vegetables formed into dumplings and dunked into a sauce that explodes with hot, sweet, sour and salty flavors.",Veg,3.9,8
Recommended,Honey Chilli Potato   .,220,All time favorite mouthwatering honey chilli potato made with fresh veggies and honey served with salad (serve 1).,Veg,3.9,8
Recommended,Matar Paneer,150,"A rich, creamy curry of soft succulent paneer and plenty of onions in a wonderful medley of spices, herbs and tomatoes.",Veg,3.9,8
Recommended,Shahi Paneer,260,A creamy indulgence made by cooking paneer cubes in a tomato gravy seasoned with Indian spices.,Veg,3.9,8
Recommended,Kadai Paneer,270,An irresistible preparation with paneer cooked in a perfectly seasoned onion tomato gravy and topped with butter.,Veg,3.9,8
Recommended,Malai Kofta,180,Malai Kofta is a very popular Indian vegetarian dish where balls (kofta) made of potato and paneer are deep fried and served with a creamy and spiced tomato based curry.,Veg,3.9,8
Recommended,Handi Paneer,290,Handi paneer is a delicious and creamy gravy cooked in a shallow depth and wide bottom handi.,Veg,3.9,8
Recommended,Chana Masala,150,It is made using everyday Indian spices. Raw chickpeas are soaked overnight and then cooked in a onion-tomato based masala. Vegan and gluten-free.,Veg,3.9,8
Recommended,Jeera Aloo,140,"A traditional taste combined with baby potato, onion & some Indian fine and whole spices fried with jeera (cumin).",Veg,3.9,8
Recommended,Aloo Matar,180,"Aloo matar is a potato curry which is made using baby potatoes, cooked on low heat by sealing the pot.",Veg,3.9,8
Recommended,Kadai Mushroom,290,A tasty and delectable dish made by cooking in a flavorful gravy of onion and vegies along with soft mushrooms.,Veg,3.9,8
Recommended,Plain Dal,155,Plain Dal,Veg,3.9,8
Recommended,Dal Fry,160,"A comforting and delicious preparation made with mixed daal cooked and tempered with onions, chillies and more.",Veg,3.9,8
Recommended,Dal Tadka,180,The protien rich yellow Lentils prepared in a variety of spices is a perfect combination to satisfy your taste buds and fitness.,Veg,3.9,8
Recommended,Plain Rice,120,Veg plain rice which can be made an add on with any main dish to make it a perfect combo.,Veg,3.9,8
Recommended,Missi Roti,45,Missi Roti,Veg,3.9,8
Recommended,Butter Naan,60,Butter Naan,Veg,3.9,8
Recommended,Laccha Paratha,45,Laccha Paratha,Veg,3.9,8
Recommended,Dahi,80,Dahi,Veg,3.9,8
Recommended,Makkhan's Special Thali (fixed),240,Dal fry+ matar paneer+ dry vegetable+ plain rice+ 2 laccha paratha+ boondi raita+ pickle+ salad+ papad+ one sweet,Veg,3.9,8
Snacks,Chilli Idli,225,Chilli Idli,Veg,3.9,8
Snacks,French Fries (Finger Chips),110,French Fries (Finger Chips),Veg,3.9,8
Snacks,Onion Pakoras,145,Onion Pakoras,Veg,3.9,8
Snacks,Veg Pakora,145,"Paneer pakora are savory gram flour batter coated Indian cottage cheese fritters. Its a best snack to pair up with evening tea. 
.",Veg,3.9,8
Snacks,Veg Cutlet,160,"Veg cutlet is a quick tea time Indian snack recipe made with mix vegetables like potatoes, peas, beans and carrots.",Veg,3.9,8
Snacks,Paneer Cutlet,190,Paneer cutlet is a quick Indian snack recipe made with paneer along with Indian spices.,Veg,3.9,8
Snacks,Paneer Pakoras,190,Paneer Pakoras,Veg,3.9,8
Snacks,Onion Ring,130,Onion Ring,Veg,3.9,8
Snacks,Onion Pakori,145,Onion Pakori,Veg,3.9,8
Snacks,Fresh Paneer Stick,180,Fresh Paneer Stick,Veg,3.9,8
Snacks,Fried Paneer Stick,240,Fried Paneer Stick,Veg,3.9,8
Snacks,Honey Chilli Potato,220,All time favorite mouthwatering honey chilli potato made with fresh veggies and honey served with salad (serve 1).,Veg,3.9,8
Snacks,Hara Bhara Kebab (8 Pcs),210,Hara Bhara Kebab (8 Pcs),Veg,3.9,8
Tandoori Snacks,Chaap Malai Tikka,260,A creamy preparation of roasted chaap tossed with onions & species served with green chutney.,Veg,3.9,8
Tandoori Snacks,Tandoori Aloo,220,Tandoori Aloo,Veg,3.9,8
Tandoori Snacks,Soya ChaapTikka,240,A flavor-packed malai chaap tossed with veggies and delectable masalas - perfect to satiate your cravings.,Veg,3.9,8
Tandoori Snacks,Paneer Tikka,260,"Cottage Cheese marinated in Indian spices and hung curd cooked in clay oven -Tandoor and served with Salad mix and Mint Chutney.
",Veg,3.9,8
Tandoori Snacks,Mushroom Tikka,280,Mushroom Tikka,Veg,3.9,8
Tandoori Snacks,Paneer Malai Tikka,240,A flavor-packed preparation with paneer cubes grilled to perfection. Serves 1-2.,Veg,3.9,8
Sandwiches,Veg Sandwich,110,Veg Sandwich,Veg,3.9,8
Sandwiches,Cheese Sandwich,110,Cheese Sandwich,Veg,3.9,8
Sandwiches,Paneer Sandwich,160,A Mouthwatering Sandwich Stuffed With Assorted sauteed Veggies And Paneer And Coated In Special Sauces.,Veg,3.9,8
Sandwiches,Club Sandwich,160,"A perfect snack consisting of vegetables, sliced cheese,placed in between slices of bread grilled to perfection.",Veg,3.9,8
Sandwiches,Aloo Sandwich,120,Aloo Sandwich,Veg,3.9,8
Sandwiches,Grilled Veg Sandwich,140,A wholesome sandwich with assorted veggies tossed in a simple dressing and grilled to perfection.,Veg,3.9,8
Sandwiches,Grilled Cheese Sandwich,140,Grilled Cheese Sandwich,Veg,3.9,8
Sandwiches,Grilled Paneer Sandwich,150,Grilled Paneer Sandwich,Veg,3.9,8
Sandwiches,Grilled Aloo Sandwich,140,Grilled Aloo Sandwich,Veg,3.9,8
Chole Bharure,Amritsari Chana Kulcha,225,Amritsari Chana Kulcha,Veg,3.9,8
Chole Bharure,Chole Bhature,140,A classic Punjabi combo consisting of fluffy bhatura served with thick and indulgent chickpea gravy.,Veg,3.9,8
Chole Bharure,Paneer Stuffed Chole Bhature,170,Perfect Indian snack consist of spicy white chickpeas(chole) served with two fried bhature (bread made from white flour). Serves 1 person.,Veg,3.9,8
Chole Bharure,Onion Stuffed Chole Bhature,160,Onion Stuffed Chole Bhature,Veg,3.9,8
Burger,Crispy Paneer Burger,170,Crispy Paneer Burger,Veg,3.9,8
Burger,Crispy Veg Cheese Burger,170,Crispy Veg Cheese Burger,Veg,3.9,8
Burger,Crispy Veg Burger,150,Crispy Veg Burger,Veg,3.9,8
Burger,Veg Burger,65,"Juicy burger with a tangy vegetable patty; served with lettuce, tomatoes, chopped onions, mayo and crisps.",Veg,3.9,8
Burger,Veg Cheese Burger,120,Veg Cheese Burger,Veg,3.9,8
Burger,Paneer Burger,130,"A delightfully flavor packed burger with crispy paneer patty, fresh veggies and delectable sauces.",Veg,3.9,8
Burger,Makhanis Special Burger,150,"Juicy burger with a tangy vegetable patty; served with lettuce, tomatoes, chopped onions, mayo and crisps.",Veg,3.9,8
Pizza,"8.5"" Cheese Corn Pizza",250,"8.5"" Cheese Corn Pizza",Veg,3.9,8
Pizza,"8.5"" Cheese Pizza",180,"A delightfully flavorful pizza with a well cooked base topped with pizza sauce, italian spices and whole lot of cheese.",Veg,3.9,8
Pizza,"8.5"" Veg Pizza",240,All time favorite mouthwatering 6 inch farm house pizza made with fresh veggies and served tomato and chilli sauce (serve 1).,Veg,3.9,8
Pizza,"8.5"" Cheese Tomato Pizza",240,A delectable pizza treat stuffed with mouth-watering tomato slices served hot with a dash of parmesan.,Veg,3.9,8
Pizza,"8.5"" Onion Pizza",240,"A fresh flattened bread dough topped with onion and paneer, generously layered with grated cheese & italian herbs baked to perfection.",Veg,3.9,8
Pizza,"8.5"" Capsicum Onion Pizza",240,"8.5"" Capsicum Onion Pizza",Veg,3.9,8
Pizza,"8.5"" Paneer Pizza",280,"The all time favorite 8'' pizza topped with assorted fresh veggies, generously layered with grated cheese and baked to perfection.",Veg,3.9,8
Pizza,"8.5"" Chilli Paneer Pizza",280,"8.5"" Chilli Paneer Pizza",Veg,3.9,8
Pizza,"8.5"" Cheese Capsicum Onion Mushroom Pizza",290,"A delightfully flavorsome combo of mouthwatering cheese corn pizza, perfect to serve your cravings.",Veg,3.9,8
Pizza,"8.5"" Paneer Tikka Pizza",290,A fresh flattened bread dough generously layered with grated cheese & italian herbs baked to perfection.,Veg,3.9,8
Pizza,"8.5"" Makhanis Special Pizza",320,"8.5"" Makhanis Special Pizza",Veg,3.9,8
Pasta,Onion Penne Pasta,210,Onion Penne Pasta,Veg,3.9,8
Pasta,Vegetable Penne Pasta,240,Vegetable Penne Pasta,Veg,3.9,8
South Indian,Vada Chutney,150,Vada Chutney,Veg,3.9,8
South Indian,Idli Chutney,150,Idli Chutney,Veg,3.9,8
South Indian,Plain Dosa,130,Delicious rice and lentil crepes which are made with ground and fermented lentil-rice batter served with mouth watering sambhar.,Veg,3.9,8
South Indian,Onion Dosa,130,Onion Dosa,Veg,3.9,8
South Indian,Masala Dosa,130,"Masala dosa is a thin crisp dosa, consumed with a spicy potato sabji. Masala dosa is made from rice, potato, methi, curry leaves and served with chutneys and sambar.",Veg,3.9,8
South Indian,Butter Masal Dosa,170,Butter Masal Dosa,Veg,3.9,8
South Indian,Cheese Masala Dosa,180,"A semi-spicy, crispy and delicious dosa with flavor-packed stuffing of spiced & savory potato masala folded into it with lods of cheese.",Veg,3.9,8
South Indian,Paneer Masala Dosa,180,"Crispy and delicious dosa, folded in with spicy paneer masala.",Veg,3.9,8
South Indian,Paneer Dosa,220,A traditional South-Indian dish made up of fermented black lentils and rice with paneer filling. Served with Sambhar and cocunut chutney.,Veg,3.9,8
South Indian,Makhani Special Dosa,240,Makhani Special Dosa,Veg,3.9,8
South Indian,Rawa Plain Dosa,150,"Rava dosa is an easy crisp instant dosa made with semolina, rice flour, all-?purpose flour and spices.",Veg,3.9,8
South Indian,Rawa Onion Dosa,150,Rawa Onion Dosa,Veg,3.9,8
South Indian,Rawa Masala Dosa,150,"A semi-spicy, crispy and delicious dosa with flavor-packed stuffing of spiced paneer folded into it with alot of butter.",Veg,3.9,8
South Indian,Rawa Butter Masal Dosa,190,Rawa Butter Masal Dosa,Veg,3.9,8
South Indian,Rawa Cheese Masala Dosa,190,Rawa Cheese Masala Dosa,Veg,3.9,8
South Indian,Rawa Paneer Masala Dosa,200,Rawa Paneer Masala Dosa,Veg,3.9,8
